Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  102    4 0xffffff7f82283000 0xa000     0xa000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 9DF17529-5D31-365E-A28F-D5581C4D18B4 <12 8 7 6 5 3>
  103    1 0xffffff7f822b8000 0x18000    0x18000    com.apple.driver.X86PlatformPlugin (1.0.0) F5B7D100-AD52-386F-9F29-668FDCD0FE7D <102 73 31 14 12 8 7 6 5 3 1>
  104    0 0xffffff7f815cd000 0x3000     0x3000     com.apple.driver.eficheck (1) A6934DB6-C231-3904-9401-60FEE8F9A872 <61 13 5 3 1>
  106    2 0xffffff7f82412000 0xf6000    0xf6000    com.apple.iokit.IOBluetoothFamily (6.0.9f2) 6437483C-5DDE-3E8F-92B5-2F890F3BC952 <31 26 12 8 7 6 5 3 1>
  107    1 0xffffff7f82a48000 0xb000     0xb000     com.apple.iokit.IOBluetoothHostControllerTransport (6.0.9f2) 1F6B385D-A9CD-3BA3-B128-8893E9D8B988 <106 31 13 12 8 7 6 5 3 1>
  108    0 0xffffff7f82a5a000 0x20000    0x20000    com.apple.iokit.IOBluetoothHostControllerUSBTransport (6.0.9f2) A8F5526D-AEA7-3665-98F2-9C0A751762E2 <107 106 31 13 12 8 7 6 5 3 1>
  110    0 0xffffff7f82b7d000 0x6000     0x6000     com.apple.driver.AppleIntelPCHPMC (2.0.1) 27D099FA-C879-32F7-9935-0333CF596F07 <102 14 13 12 5 3>
  111    2 0xffffff7f81dd2000 0xc000     0xc000     com.apple.iokit.IOHDAFamily (282.10) B553255E-87B3-3258-BE61-933DD039A18C <6 5 3 1>
  112    1 0xffffff7f81de1000 0x1d000    0x1d000    com.apple.driver.AppleHDAController (282.10) 70256EC9-AF38-31BD-A3C5-9C0E30B64AA3 <111 89 53 13 8 7 6 5 3 1>
  113    0 0xffffff7f81912000 0xd000     0xd000     com.apple.AppleGPUWrangler (3.28.4) D61F64EE-E8D7-3E54-BEF9-4555C7A2F241 <97 53 13 8 7 6 5 3 1>
  116    0 0xffffff7f82674000 0xf3000    0xf3000    com.apple.driver.AppleIntelKBLGraphics (12.0.4) 0CE89560-0A60-3725-BE64-0CA6DF7CA2D7 <96 95 53 13 8 7 6 5 3 1>
  117    0 0xffffff7f82b87000 0x5000     0x5000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) E8A46A07-5CA9-3449-AB3C-194D7EDBDEC6 <14 9 8 5 3 1>
  118    0 0xffffff7f82ac5000 0x12000    0x12000    com.apple.driver.pmtelemetry (1) 90FED9E0-C0C8-36C4-8231-99FF16B46CB0 <8 7 6 5 3>
  119    0 0xffffff7f82a8a000 0xa000     0xa000     com.apple.iokit.IOBluetoothSerialManager (6.0.9f2) 6D248369-38DB-3948-B7B6-C62D339B55A7 <81 8 6 5 3 1>
  120    0 0xffffff7f828a5000 0xd000     0xd000     com.apple.driver.AppleSSE (1.0) 820E89F2-2F5E-3673-AF12-FAB3726810D2 <32 28 27 8 6 5 3 1>
  121    0 0xffffff7f827bb000 0x6000     0x6000     com.apple.iokit.IOUserEthernet (1.0.1) 67F54A00-494C-357F-B4FF-6A291C66C4DA <24 7 6 5 3 1>
  122    0 0xffffff7f829c1000 0x4000     0x4000     com.apple.driver.AppleOSXWatchdog (1) F677275E-0C32-3CCB-9AE8-FD02558657AB <13 8 7 6 5 3 1>
  123    0 0xffffff7f830d6000 0x3000     0x3000     com.apple.private.KextAudit (1.0) 6CC4204B-0634-3CF3-9F09-E45F0B584EAD <14 8 7 6 5 3>
  124    0 0xffffff7f823fc000 0x9000     0x9000     com.apple.driver.AppleHV (1) 70BE21E9-ED1C-3847-841B-F3692643F387 <8 7 6 5 3 1>
  125    0 0xffffff7f818f7000 0x3000     0x3000     com.apple.AGDCPluginDisplayMetrics (3.28.4) 80FF8D30-0F1F-3EAD-8C06-126254E42C02 <97 8 7 6 5 3 1>
  126    1 0xffffff7f818fb000 0x3000     0x3000     com.apple.driver.AppleGraphicsControl (3.28.4) 200F1816-A734-3977-B7AE-7A6B2363059F <8 6 5 3 1>
  127    0 0xffffff7f818fe000 0x12000    0x12000    com.apple.driver.AppleGraphicsDevicePolicy (3.28.4) B966AFB2-2D6A-3A5C-9895-C9A1CC39AB88 <126 97 53 13 12 8 7 6 5 3 1>
  128    1 0xffffff7f82a9a000 0xe000     0xe000     com.apple.driver.AppleSMBusController (1.0.18d1) 358B8FF6-88DE-31BD-BF81-34E04A558829 <22 13 12 6 5 3>
  129    0 0xffffff7f82aab000 0xf000     0xf000     com.apple.driver.AppleMCCSControl (1.5.6) 2A77F45F-2682-337F-88D0-AECA120C5832 <128 53 14 13 12 8 6 5 3 1>
  130    1 0xffffff7f81e14000 0x13000    0x13000    com.apple.kext.OSvKernDSPLib (527) C39D546B-2D04-3E1E-A96F-9A478137270E <6 5>
  131    1 0xffffff7f81e27000 0x142000   0x142000   com.apple.driver.DspFuncLib (282.10) F5B4377A-62C3-3034-80CE-99FF5F2DF7C8 <130 89 88 63 7 6 5 3 1>
  132    0 0xffffff7f81f74000 0xb7000    0xb7000    com.apple.driver.AppleHDA (282.10) B2208DA8-8CD9-36D8-BD59-C6D9A5379585 <131 112 111 89 54 53 7 6 5 3 1>
  133    0 0xffffff7f828c2000 0x5000     0x5000     com.apple.driver.AppleUpstreamUserClient (3.6.5) 494501D4-CFB0-3474-8F18-04CEB5F56E82 <53 13 12 8 6 5 3 1>
